county_id,ndvi_value,vegetation_density,vegetation_type
sf,0.6939764069708951,0.5785296632377649,dense
sf,0.7200156914735271,0.6865358208682892,dense
sf,0.11585889082071399,0.09896524148506253,barren
sf,0.4830820480363496,0.4459384620421689,moderate
sf,0.5174999287280949,0.4944932646285316,moderate
sf,0.05950883932064355,0.0833485288453278,barren
sf,0.9675959354236006,0.9250344266933817,very dense
sf,0.8261380828324979,0.7492343327074116,very dense
sf,0.8048335767341146,0.7019787975440939,very dense
sf,0.6395634141036676,0.5880694516365436,dense
sf,0.5721975144521348,0.6091717254401039,moderate
sf,0.02364199161277236,0.13877470864367245,barren
sf,0.06279789224706323,0.19203478466314766,barren
sf,0.9878383940726526,0.8168856412450619,very dense
sf,0.3517864999437865,0.4736165310234539,sparse
sf,0.6693041853804901,0.7246002392444528,dense
sf,0.6961629956836481,0.5847996491204357,dense
sf,0.7244984267749695,0.6604230503217997,dense
sf,0.4614191748218627,0.48524659229787126,moderate
sf,0.8494728735099353,0.8105636250838679,very dense
sf,0.0978339268075773,0.12154942150367246,barren
sf,0.30768352024264545,0.25922156448537337,sparse
sf,0.7628744416258391,0.6745759155767,dense
sf,0.07649333173240336,0.18890631431637517,barren
sf,0.41158282741936447,0.34764886443920895,moderate
sf,0.2655592640482326,0.3741036606054364,sparse
sf,0.8688960791518414,0.8280074806760067,very dense
sf,0.9667547503939782,0.8641652931506069,very dense
sf,0.6928102348516015,0.5706493436022787,dense
sf,0.6291273906403578,0.6239378950314524,dense
sf,0.3847852556355452,0.4675280991260491,sparse
sf,0.038296017081931866,0.044460172476559444,barren
sf,0.7127285207159174,0.6761260303442435,dense
sf,0.5033253063480285,0.46650236871360357,moderate
sf,0.5504850959114559,0.45921925395174484,moderate
sf,0.19625503242450337,0.24941110611315193,barren
sf,0.24741993310061516,0.39752217288149505,sparse
sf,0.7630767140649836,0.732986176148477,dense
sf,0.2724322541350075,0.37481760509611256,sparse
sf,0.1749608199982926,0.29302018555282683,barren
sf,0.9590258385830306,0.9118616912566728,very dense
sf,0.1260027826331368,0.1501409205400174,barren
sf,0.3713736481219039,0.3599072067340122,sparse
sf,0.6506946460370819,0.7203951229642586,dense
sf,0.5146986307336026,0.49691933293411555,moderate
sf,0.6968291776737491,0.7522915130973885,dense
